type,diagnosis_code,diagnosis_description
icd10,X22,Contact with scorpions
icd10,X23,"Contact with hornets, wasps and bees"
icd10,X24,Contact with centipedes and venomous millipedes (tropical)
icd10,X25,Contact with other venomous arthropods
icd10,X26,Contact with venomous marine animals and plants
icd10,X27,Contact with other specified venomous animals
icd10,X28,Contact with other specified venomous plants
icd10,X29,Contact with unspecified venomous animal or plant
icd10,X30,Exposure to excessive natural heat
icd10,X31,Exposure to excessive natural cold
icd10,X32,Exposure to sunlight
icd10,X33,Victim of lightning
icd10,X34,Victim of earthquake
icd10,X35,Victim of volcanic eruption
icd10,X36,"Victim of avalanche, landslide and other earth movements"
icd10,X37,Victim of cataclysmic storm
icd10,X38,Victim of flood
icd10,X39,Exposure to other and unspecified forces of nature
icd10,X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
icd10,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
icd10,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
icd10,X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system
icd10,X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
icd10,X45,Accidental poisoning by and exposure to alcohol
icd10,X46,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours
icd10,X47,Accidental poisoning by and exposure to other gases and vapours
icd10,X48,Accidental poisoning by and exposure to pesticides
icd10,X49,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances
icd10,X50,Overexertion and strenuous or repetitive movements
icd10,X51,Travel and motion
icd10,X52,Prolonged stay in weightless environment
icd10,X53,Lack of food
icd10,X54,Lack of water
icd10,X57,Unspecified privation
icd10,X58,Exposure to other specified factors
icd10,X59,Exposure to unspecified factor
icd10,X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
icd10,X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
icd10,X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
icd10,X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system
icd10,X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
icd10,X65,Intentional self-poisoning by and exposure to alcohol
icd10,X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours
icd10,X67,Intentional self-poisoning by and exposure to other gases and vapours
icd10,X68,Intentional self-poisoning by and exposure to pesticides
icd10,X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances
icd10,X70,"Intentional self-harm by hanging, strangulation and suffocation"
icd10,X71,Intentional self-harm by drowning and submersion
icd10,X72,Intentional self-harm by handgun discharge
icd10,X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
icd10,X74,Intentional self-harm by other and unspecified firearm discharge
icd10,X75,Intentional self-harm by explosive material
icd10,X76,"Intentional self-harm by smoke, fire and flames"
icd10,X77,"Intentional self-harm by steam, hot vapours and hot objects"
icd10,X78,Intentional self-harm by sharp object
icd10,X79,Intentional self-harm by blunt object
icd10,X80,Intentional self-harm by jumping from a high place
icd10,X81,Intentional self-harm by jumping or lying before moving object
icd10,X82,Intentional self-harm by crashing of motor vehicle
icd10,X83,Intentional self-harm by other specified means
icd10,X84,Intentional self-harm by unspecified means
icd10,X85,"Assault by drugs, medicaments and biological substances"
icd10,X86,Assault by corrosive substance
icd10,X87,Assault by pesticides
icd10,X88,Assault by gases and vapours
icd10,X89,Assault by other specified chemicals and noxious substances
icd10,X90,Assault by unspecified chemical or noxious substance
icd10,X91,"Assault by hanging, strangulation and suffocation"
icd10,X92,Assault by drowning and submersion
icd10,X93,Assault by handgun discharge
icd10,X94,"Assault by rifle, shotgun and larger firearm discharge"
icd10,X95,Assault by other and unspecified firearm discharge
icd10,X96,Assault by explosive material
icd10,X97,"Assault by smoke, fire and flames"
icd10,X98,"Assault by steam, hot vapours and hot objects"
icd10,X99,Assault by sharp object
icd10,Y00,Assault by blunt object
icd10,Y01,Assault by pushing from high place
icd10,Y02,Assault by pushing or placing victim before moving object
icd10,Y03,Assault by crashing of motor vehicle
icd10,Y04,Assault by bodily force
icd10,Y05,Sexual assault by bodily force
icd10,Y06,Neglect and abandonment
icd10,Y07,Other maltreatment
icd10,Y08,Assault by other specified means
icd10,Y09,Assault by unspecified means
icd10,Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent"
icd10,Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"
icd10,Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"
icd10,Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent"
icd10,Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"
icd10,Y15,"Poisoning by and exposure to alcohol, undetermined intent"
icd10,Y16,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent"
icd10,Y17,"Poisoning by and exposure to other gases and vapours, undetermined intent"
icd10,Y18,"Poisoning by and exposure to pesticides, undetermined intent"
icd10,Y19,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent"
icd10,Y20,"Hanging, strangulation and suffocation, undetermined intent"
icd10,Y21,"Drowning and submersion, undetermined intent"
icd10,Y22,"Handgun discharge, undetermined intent"
icd10,Y23,"Rifle, shotgun and larger firearm discharge, undetermined intent"
icd10,Y24,"Other and unspecified firearm discharge, undetermined intent"
icd10,Y25,"Contact with explosive material, undetermined intent"
icd10,Y26,"Exposure to smoke, fire and flames, undetermined intent"
icd10,Y27,"Contact with steam, hot vapours and hot objects, undetermined intent"
icd10,Y28,"Contact with sharp object, undetermined intent"
icd10,Y29,"Contact with blunt object, undetermined intent"
icd10,Y30,"Falling, jumping or pushed from a high place, undetermined intent"
icd10,Y31,"Falling, lying or running before or into moving object, undetermined intent"
icd10,Y32,"Crashing of motor vehicle, undetermined intent"
icd10,Y33,"Other specified events, undetermined intent"
icd10,Y34,"Unspecified event, undetermined intent"
icd10,Y35,Legal intervention
icd10,Y36,Operations of war
icd10,Y40,Systemic antibiotics
icd10,Y41,Other systemic anti-infectives and antiparasitics
icd10,Y42,"Hormones and their synthetic substitutes and antagonists, not elsewhere classified"
icd10,Y43,Primarily systemic agents
icd10,Y44,Agents primarily affecting blood constituents
icd10,Y45,"Analgesics, antipyretics and anti-inflammatory drugs"
icd10,Y46,Antiepileptics and antiparkinsonism drugs
icd10,Y47,"Sedatives, hypnotics and antianxiety drugs"
icd10,Y48,Anaesthetics and therapeutic gases
icd10,Y49,"Psychotropic drugs, not elsewhere classified"
icd10,Y50,"Central nervous system stimulants, not elsewhere classified"
icd10,Y51,Drugs primarily affecting the autonomic nervous system
icd10,Y52,Agents primarily affecting the cardiovascular system
icd10,Y53,Agents primarily affecting the gastrointestinal system
icd10,Y54,Agents primarily affecting water-balance and mineral and uric acid metabolism
icd10,Y55,Agents primarily acting on smooth and skeletal muscles and the respiratory system
icd10,Y56,"Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs"
icd10,Y57,Other and unspecified drugs and medicaments
icd10,Y58,Bacterial vaccines
icd10,Y59,Other and unspecified vaccines and biological substances
icd10,Y60,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care"
icd10,Y61,Foreign object accidentally left in body during surgical and medical care
icd10,Y62,Failure of sterile precautions during surgical and medical care
icd10,Y63,Failure in dosage during surgical and medical care
icd10,Y64,Contaminated medical or biological substances
icd10,Y65,Other misadventures during surgical and medical care
icd10,Y66,Nonadministration of surgical and medical care
icd10,Y69,Unspecified misadventure during surgical and medical care
icd10,Y70,Anaesthesiology devices associated with adverse incidents
icd10,Y71,Cardiovascular devices associated with adverse incidents
icd10,Y72,Otorhinolaryngological devices associated with adverse incidents
icd10,Y73,Gastroenterology and urology devices associated with adverse incidents
icd10,Y74,General hospital and personal-use devices associated with adverse incidents
icd10,Y75,Neurological devices associated with adverse incidents
icd10,Y76,Obstetric and gynaecological devices associated with adverse incidents
icd10,Y77,Ophthalmic devices associated with adverse incidents
icd10,Y78,Radiological devices associated with adverse incidents
icd10,Y79,Orthopaedic devices associated with adverse incidents
icd10,Y80,Physical medicine devices associated with adverse incidents
icd10,Y81,General- and plastic-surgery devices associated with adverse incidents
icd10,Y82,Other and unspecified medical devices associated with adverse incidents
icd10,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
icd10,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
icd10,Y85,Sequelae of transport accidents
icd10,Y86,Sequelae of other accidents
icd10,Y87,"Sequelae of intentional self-harm, assault and events of undetermined intent"
icd10,Y88,Sequelae with surgical and medical care as external cause
icd10,Y89,Sequelae of other external causes
icd10,Y90,Evidence of alcohol involvement determined by blood alcohol level
icd10,Y91,Evidence of alcohol involvement determined by level of intoxication
icd10,Y95,Nosocomial condition
icd10,Y96,Work-related condition
icd10,Y97,Environmental-pollution-related condition
icd10,Y98,Lifestyle-related condition
icd10,Z00,General examination and investigation of persons without complaint and reported diagnosis
icd10,Z01,Other special examinations and investigations of persons without complaint or reported diagnosis
icd10,Z02,Examination and encounter for administrative purposes
icd10,Z03,Medical observation and evaluation for suspected diseases and conditions
icd10,Z04,Examination and observation for other reasons
icd10,Z08,Follow-up examination after treatment for malignant neoplasms
icd10,Z09,Follow-up examination after treatment for conditions other than malignant neoplasms
icd10,Z10,Routine general health check-up of defined subpopulation
icd10,Z11,Special screening examination for infectious and parasitic diseases
icd10,Z12,Special screening examination for neoplasms
icd10,Z13,Special screening examination for other diseases and disorders
icd10,Z20,Contact with and exposure to communicable diseases
icd10,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
icd10,Z22,Carrier of infectious disease
icd10,Z23,Need for immunization against single bacterial diseases
icd10,Z24,Need for immunization against certain single viral diseases
icd10,Z25,Need for immunization against other single viral diseases
icd10,Z26,Need for immunization against other single infectious diseases
icd10,Z27,Need for immunization against combinations of infectious diseases
icd10,Z28,Immunization not carried out
icd10,Z29,Need for other prophylactic measures
icd10,Z30,Contraceptive management
icd10,Z31,Procreative management
icd10,Z32,Pregnancy examination and test
icd10,Z33,"Pregnant state, incidental"
icd10,Z34,Supervision of normal pregnancy
icd10,Z35,Supervision of high-risk pregnancy
icd10,Z36,Antenatal screening
icd10,Z37,Outcome of delivery
icd10,Z38,Liveborn infants according to place of birth
icd10,Z39,Postpartum care and examination
icd10,Z40,Prophylactic surgery
icd10,Z41,Procedures for purposes other than remedying health state
icd10,Z42,Follow-up care involving plastic surgery
icd10,Z43,Attention to artificial openings
icd10,Z44,Fitting and adjustment of external prosthetic device
icd10,Z45,Adjustment and management of implanted device
icd10,Z46,Fitting and adjustment of other devices
icd10,Z47,Other orthopaedic follow-up care
icd10,Z48,Other surgical follow-up care
icd10,Z49,Care involving dialysis
icd10,Z50,Care involving use of rehabilitation procedures
icd10,Z51,Other medical care
icd10,Z52,Donors of organs and tissues
icd10,Z53,"Persons encountering health services for specific procedures, not carried out"
icd10,Z54,Convalescence
icd10,Z55,Problems related to education and literacy
icd10,Z56,Problems related to employment and unemployment
icd10,Z57,Occupational exposure to risk-factors
icd10,Z58,Problems related to physical environment
icd10,Z59,Problems related to housing and economic circumstances
icd10,Z60,Problems related to social environment
icd10,Z61,Problems related to negative life events in childhood
icd10,Z62,Other problems related to upbringing
icd10,Z63,"Other problems related to primary support group, including family circumstances"
icd10,Z64,Problems related to certain psychosocial circumstances
icd10,Z65,Problems related to other psychosocial circumstances
icd10,Z70,"Counselling related to sexual attitude, behaviour and orientation"
icd10,Z71,"Persons encountering health services for other counselling and medical advice, not elsewhere classified"
icd10,Z72,Problems related to lifestyle
icd10,Z73,Problems related to life-management difficulty
icd10,Z74,Problems related to care-provider dependency
icd10,Z75,Problems related to medical facilities and other health care
icd10,Z76,Persons encountering health services in other circumstances
icd10,Z80,Family history of malignant neoplasm
icd10,Z81,Family history of mental and behavioural disorders
icd10,Z82,Family history of certain disabilities and chronic diseases leading to disablement
icd10,Z83,Family history of other specific disorders
icd10,Z84,Family history of other conditions
icd10,Z85,Personal history of malignant neoplasm
icd10,Z86,Personal history of certain other diseases
icd10,Z87,Personal history of other diseases and conditions
icd10,Z88,"Personal history of allergy to drugs, medicaments and biological substances"
icd10,Z89,Acquired absence of limb
icd10,Z90,"Acquired absence of organs, not elsewhere classified"
icd10,Z91,"Personal history of risk-factors, not elsewhere classified"
icd10,Z92,Personal history of medical treatment
icd10,Z93,Artificial opening status
icd10,Z94,Transplanted organ and tissue status
icd10,Z95,Presence of cardiac and vascular implants and grafts
icd10,Z96,Presence of other functional implants
icd10,Z97,Presence of other devices
icd10,Z98,Other postsurgical states
icd10,Z99,"Dependence on enabling machines and devices, not elsewhere classified"
aae,01,Laceration
aae,03,Soft tissue inflammation
aae,06,Sprain/ligament injury
aae,07,Muscle/tendon injury
aae,08,Nerve injury
aae,09,Vascular injury
aae,11,Electric shock
aae,12,Foreign body
aae,13,Bites/stings
aae,15,Near drowning
aae,16,Visceral injury
aae,18,Local infection
aae,19,Septicaemia
aae,21,Cerebro-vascular conditions
aae,22,Other vascular conditions
aae,23,Haematological conditions
aae,27,Urological conditions (including cystitis)
aae,28,Obstetric conditions
aae,29,Gynaecological conditions
aae,31,Dermatological conditions
aae,32,Allergy (including anaphylaxis)
aae,33,Facio-maxillary conditions
aae,34,ENT conditions
aae,35,Psychiatric conditions
aae,36,Ophthalmological conditions
aae,37,Social problem (includes chronic alcoholism and homelessness)
aae,38,Diagnosis not classifiable
aae,39,Nothing abnormal detected
snomed,267036007,Dyspnoea
snomed,230145002,Difficulty breathing
snomed,70407001,Stridor
snomed,248573009,Noisy respiration
snomed,66857006,Haemoptysis
snomed,262599003,Foreign body in respiratory tract
snomed,13094009,Apnoea in the newborn
snomed,87317003,Respiratory arrest
snomed,29857009,Chest pain
snomed,80313002,Palpitations
snomed,361137007,Irregular heart beat
snomed,427461000,Near syncope
snomed,271594007,Syncope
snomed,762898005,Swelling of bilateral lower limbs
snomed,449614009,Swelling of lower limb
snomed,21631000119105,Limb ischaemia
snomed,410429000,Cardiac arrest
snomed,422970001,Cardiac arrest due to trauma
snomed,21522001,Abdominal pain
snomed,14760008,Constipation
snomed,62315008,Diarrhoea
snomed,422587007,Nausea
snomed,422400008,Vomiting
snomed,60728008,Swollen abdomen
snomed,65958008,Hiccoughs
snomed,18165001,Jaundice
snomed,79890006,Loss of appetite
snomed,8765009,Haematemesis
snomed,77880009,Rectal pain
snomed,405729008,Blood in stool
snomed,276464002,Injury of anus
snomed,47609003,Foreign body in oesophagus
snomed,40739000,Dysphagia
snomed,33334006,Foreign body in digestive tract
snomed,70176004,Foreign body in rectum
snomed,25064002,Headache
snomed,40917007,Clouded consciousness
snomed,271782001,Drowsy
snomed,713514005,Muscle weakness of limb
snomed,95666008,Weakness of face muscles
snomed,29164008,Disturbance in speech
snomed,91175000,Seizure
snomed,404640003,Dizziness
snomed,44077006,Numbness
snomed,26079004,Tremor
snomed,22631008,Unsteady when walking
snomed,161898004,Falls
snomed,193462001,Insomnia
snomed,399963005,Abrasion
snomed,312608009,Laceration - injury
snomed,312609001,Puncture wound - injury
snomed,299972003,Sting of skin
snomed,283682007,Bite - wound
snomed,125666000,Burn
snomed,271807003,Eruption
snomed,297982009,Skin problem
snomed,444905003,Mass of soft tissue
snomed,247441003,Erythema
snomed,418363000,Itching of skin
snomed,161887000,Spontaneous bruising
snomed,93459000,Foreign body in subcutaneous tissue
snomed,95668009,Pain in face
snomed,27355003,Toothache
snomed,81680005,Neck pain
snomed,162356005,Earache symptoms
snomed,2999009,Injury of ear
snomed,300132001,Ear discharge
snomed,15188001,Hearing loss
snomed,60862001,Tinnitus
snomed,75441006,Foreign body in ear
snomed,249366005,Bleeding from nose
snomed,19491003,Injury of nose
snomed,68235000,Nasal congestion
snomed,74699008,Foreign body in nose
snomed,267102003,Sore throat symptom
snomed,49727002,Cough
snomed,421581006,Pharyngeal swelling
snomed,14380007,Foreign body in mouth
snomed,25479004,Foreign body in pharynx
snomed,75705005,Red eye
snomed,55899000,Foreign body on external eye
snomed,41652007,Pain in eye
snomed,246679005,Discharge from eye
snomed,63102001,Visual disturbance
snomed,409668002,Photophobia
snomed,282752000,Injury of eye region
snomed,170720001,Follow-up ophthalmological assessment
snomed,82271004,Injury of head
snomed,125593007,Injury of face
snomed,90460009,Injury of neck
snomed,282760004,Clavicle injury
snomed,125594001,Injury of shoulder region
snomed,125595000,Injury of upper arm
snomed,125596004,Injury of elbow
snomed,125597008,Injury of forearm
snomed,125598003,Injury of wrist
snomed,125599006,Injury of hand
snomed,52011008,Injury of finger
snomed,262520005,Thumb injury
snomed,125600009,Injury of hip region
snomed,7523003,Injury of thigh
snomed,125601008,Injury of knee
snomed,125602001,Injury of lower leg
snomed,125603006,Injury of ankle
snomed,125604000,Injury of foot
snomed,282780003,Heel injury
snomed,282776008,Injury of toe
snomed,262525000,Chest injury
snomed,282770002,Injury of ribs
snomed,432754003,Injury of sternum
snomed,65978000,Injury of chest wall
snomed,128069005,Injury of abdomen
snomed,450724008,Injury of cervical region of back
snomed,282765009,Upper back injury
snomed,282766005,Lower back injury
snomed,1089261000000101,Major injury involving multiple body regions
snomed,262595009,Traumatic amputation
snomed,161891005,Backache
snomed,45326000,Shoulder pain
snomed,771083005,Pain in upper arm
snomed,74323005,Pain in elbow
snomed,444899003,Pain in forearm
snomed,56608008,Pain in wrist
snomed,53057004,Hand pain
snomed,18876004,Pain in finger
snomed,300955002,Pain in thumb
snomed,49218002,Hip pain
snomed,78514002,Thigh pain
snomed,1003722009,Pain of knee region
snomed,300954003,Pain in calf
snomed,247373008,Ankle pain
snomed,47933007,Foot pain
snomed,2733002,Heel pain
snomed,285365001,Pain in toe
snomed,271771009,Joint swelling
snomed,49650001,Dysuria
snomed,162116003,Increased frequency of urination
snomed,267064002,Retention of urine
snomed,718403007,Decreased urine output
snomed,34436003,Blood in urine
snomed,247355005,Flank pain
snomed,20502007,Pain in scrotum
snomed,281398003,Groin mass
snomed,225565007,Perineal pain
snomed,279020002,Pain in male genitalia
snomed,162143008,Pain in female genitalia
snomed,6923002,Injury of perineum
snomed,282772005,Genital injury
snomed,300528000,Penis problem
snomed,56890008,Victim of sexual aggression
snomed,1874001000000104,Concern related to pregnancy less than 20 weeks of gestation
snomed,1874011000000102,Concern related to pregnancy at or greater than 20 weeks of gestation
snomed,301822002,Abnormal vaginal bleeding
snomed,34124000,Foreign body in vagina
snomed,289610003,Vaginal problem
snomed,290085007,Breast problem
snomed,75478009,Poisoning
snomed,371708003,Injury due to electrical exposure
snomed,418723004,Effects of direct lightning strike
snomed,386689009,Hypothermia
snomed,370977006,Frostbite
snomed,87970004,Nonfatal submersion
snomed,417981005,Exposure to blood and/or body fluid
snomed,444107005,Exposure to communicable disease
snomed,10850741000119108,Accidental needle stick injury
snomed,371704001,Injury due to chemical exposure
snomed,1156755000,Poisoning caused by gaseous substance
snomed,426936004,Smoke inhalation injury
snomed,66214007,Substance misuse
snomed,18653004,Alcohol intoxication delirium
snomed,191480000,Alcohol withdrawal syndrome
snomed,363101005,Drug withdrawal
snomed,248062006,Self-injurious behaviour
snomed,366979004,Depressed mood
snomed,6471006,Suicidal thoughts
snomed,48694002,Anxiety
snomed,248020004,Bizarre behaviour
snomed,248004009,Physical aggression
snomed,24199005,Feeling agitated
snomed,7011001,Hallucinations
snomed,2073000,Delusions
snomed,386661006,Fever
snomed,80394007,Hyperglycaemia
snomed,302866003,Hypoglycaemia
snomed,410379003,Dressing change/wound care surveillance
snomed,385486001,Postoperative complication
snomed,473023007,Complication associated with device
snomed,162214009,Crying infant
snomed,13791008,Asthenia
snomed,3415004,Cyanosis
snomed,161152002,Social problem
snomed,78680009,"Hospital admission, emergency, direct"
snomed,182888003,Medication requested
snomed,84387000,Asymptomatic
snomed,394616008,Unsteady gait
snomed,162784002,Unilateral leg oedema
snomed,275319005,Swollen legs
snomed,267073005,Suicidal
snomed,398979000,Pale complexion
snomed,1088071000000108,Pain in upper arm
snomed,283596007,Needle stick injury
snomed,30989003,Knee pain
snomed,161539004,History of melaena
snomed,12441001,Epistaxis
snomed,25658005,Disorder of vagina
snomed,95320005,Disorder of skin
snomed,33958003,Disorder of penis
snomed,79604008,Disorder of breast
snomed,35489007,Depression
snomed,272022009,Complaining of feeling depressed
snomed,249624003,Blood in faeces symptom
snomed,41931001,Abdominal distension
snomed,57335002,"Toxic effect of gas, fumes AND/OR vapours"
snomed,417746004,Traumatic injury
snomed,276438008,Swelling / lump finding
snomed,10601006,Pain in lower limb
snomed,162743000,Blue lips
snomed,226007004,Post-surgical wound care
snomed,225358003,Wound care
snomed,427797008,Unusual change in behaviour
snomed,289530006,Vaginal bleeding
snomed,63901009,Pain in testicle
snomed,274743004,Swelling of inguinal region
snomed,83128009,Oliguria
snomed,28442001,Polyuria
snomed,102556003,Pain in upper limb
snomed,127279002,Injury of lower extremity
snomed,127278005,Injury of upper extremity
snomed,16001004,Otalgia
snomed,93458008,Foreign body in skin
snomed,249990003,Unsteady when standing
snomed,430576002,At risk for injury due to fall
snomed,91019004,Paraesthesia
snomed,23168003,Speech dysfunction
snomed,3006004,Disturbance of consciousness
snomed,288945004,Difficulty swallowing food
snomed,449615005,Swelling of lower leg
snomed,309585006,Syncope and collapse
snomed,386705008,Lightheadedness
snomed,271787007,Collapse
snomed,419045004,Loss of consciousness
snomed,428566005,Gestation less than 20 weeks
snomed,429715006,Gestation greater than 20 weeks
